dico,nuts1,nuts2,nuts3,district,municipality,area,perimeter,altitudeMax,altitudeMin
101,Continente,Centro,Região de Aveiro,Aveiro,Águeda,335.27,105,762,4
102,Continente,Centro,Região de Aveiro,Aveiro,Albergaria-a-Velha,158.83,82,425,0
103,Continente,Centro,Região de Aveiro,Aveiro,Anadia,216.63,75,525,13
104,Continente,Norte,Área Metropolitana do Porto,Aveiro,Arouca,329.11,118,1222,50
105,Continente,Centro,Região de Aveiro,Aveiro,Aveiro,197.58,77,78,0
106,Continente,Norte,Tâmega e Sousa,Aveiro,Castelo de Paiva,115.01,61,694,25
107,Continente,Norte,Área Metropolitana do Porto,Aveiro,Espinho,21.06,24,100,0
108,Continente,Centro,Região de Aveiro,Aveiro,Estarreja,108.17,68,130,0
109,Continente,Norte,Área Metropolitana do Porto,Aveiro,Santa Maria da Feira,215.88,88,450,25
110,Continente,Centro,Região de Aveiro,Aveiro,Ílhavo,73.48,41,61,0
111,Continente,Centro,Região de Coimbra,Aveiro,Mealhada,110.66,65,568,25
112,Continente,Centro,Região de Aveiro,Aveiro,Murtosa,73.09,47,17,0
113,Continente,Norte,Área Metropolitana do Porto,Aveiro,Oliveira de Azeméis,161.1,86,645,25
114,Continente,Centro,Região de Aveiro,Aveiro,Oliveira do Bairro,87.32,52,78,5
115,Continente,Centro,Região de Aveiro,Aveiro,Ovar,147.7,71,225,0
116,Continente,Norte,Área Metropolitana do Porto,Aveiro,São João da Madeira,7.94,13,276,150
117,Continente,Centro,Região de Aveiro,Aveiro,Sever do Vouga,129.88,68,841,25
118,Continente,Centro,Região de Aveiro,Aveiro,Vagos,164.92,60,68,0
119,Continente,Norte,Área Metropolitana do Porto,Aveiro,Vale de Cambra,147.33,69,1046,75
201,Continente,Alentejo,Baixo Alentejo,Beja,Aljustrel,458.47,112,258,63
202,Continente,Alentejo,Baixo Alentejo,Beja,Almodôvar,777.88,199,577,150
203,Continente,Alentejo,Baixo Alentejo,Beja,Alvito,264.85,81,315,100
204,Continente,Alentejo,Baixo Alentejo,Beja,Barrancos,168.42,106,412,125
205,Continente,Alentejo,Baixo Alentejo,Beja,Beja,1146.48,208,284,25
